date,tqqq,qqq,bil
2025-06-30,41.2322807312,548.9960327148,88.0050048828
2025-07-01,40.1840896606,544.3681640625,88.0204010010
2025-07-02,40.9838943481,548.1599121094,88.0300140381
2025-07-03,42.1314430237,553.5538940430,88.0781555176
2025-07-07,41.1925430298,549.3840942383,88.0877838135
2025-07-08,41.2471847534,549.6925659180,88.0877838135
2025-07-09,42.1016349792,553.5838623047,88.0973968506
2025-07-10,41.9079017639,552.7877197266,88.1166610718
2025-07-11,41.5899620056,551.5437011719,88.1359176636
2025-07-14,42.0320930481,553.5440063477,88.1455383301
2025-07-15,42.1413803101,554.0515747070,88.1551589966
2025-07-16,42.2606086731,554.6188354492,88.1744079590
2025-07-17,43.2442245483,559.1072387695,88.1744079590
2025-07-18,43.0951881409,558.5698242188,88.2129135132
2025-07-21,43.7509269714,561.4658203125,88.2321777344
2025-07-22,43.0703468323,558.5599365234,88.2417907715
2025-07-23,43.6366729736,561.1076660156,88.2514190674
2025-07-24,43.9248008728,562.3018798828,88.2514190674
2025-07-25,44.1731872559,563.6553344727,88.2803039551
2025-07-28,44.6053810120,565.4169311523,88.2899246216
2025-07-29,44.4017028809,564.5410766602,88.2995605469
2025-07-30,44.5557022095,565.2974243164,88.3091812134
2025-07-31,43.8204803467,562.3018798828,88.3188095093
2025-08-01,41.1925430298,551.2251586914,88.3564758301
2025-08-04,43.4478988647,561.3961791992,88.3661346436
2025-08-05,42.5437698364,557.5845336914,88.3661346436
2025-08-06,44.1334419250,564.6007690430,88.3951187134
2025-08-07,44.5805435181,566.5115966797,88.3951187134
2025-08-08,45.7827415466,571.7960815430,88.4240951538
2025-08-11,45.3803482056,570.1042480469,88.4337615967
2025-08-12,47.0544776917,577.2697753906,88.4434204102
2025-08-13,47.1240310669,577.5583496094,88.4530715942
2025-08-14,46.9948692322,577.1105346680,88.4627456665
2025-08-15,46.3291893005,574.5727539062,88.5013732910
2025-08-18,46.2695770264,574.3438110352,88.5013732910
2025-08-19,44.3818321228,566.5513916016,88.5206909180
2025-08-20,43.5720939636,563.1876220703,88.5400161743
2025-08-21,42.9660263062,560.5802001953,88.5400161743
2025-08-22,44.8984756470,569.2284545898,88.5690002441
2025-08-25,44.5060272217,567.5864257812,88.5786514282
2025-08-26,45.0226707458,569.8653564453,88.5883102417
2025-08-27,45.2263488770,570.7412109375,88.5979690552
2025-08-28,46.0509948730,574.3140258789,88.6076278687
2025-08-29,44.3917694092,567.6660156250,88.6462554932
2025-09-02,43.2591209412,562.9088745117,88.6676025391
2025-09-03,44.2675781250,567.3375854492,88.6772842407
2025-09-04,45.4648017883,572.4728393555,88.6966781616
2025-09-05,45.6138343811,573.2988281250,88.7257537842
2025-09-08,46.2646064758,576.0953979492,88.7354507446
2025-09-09,46.6421585083,577.7275390625,88.7451400757
2025-09-10,46.6918334961,577.9166870117,88.7548370361
2025-09-11,47.4767379761,581.2803955078,88.7645263672
2025-09-12,48.0679016113,583.8480834961,88.7936096191
2025-09-15,49.2949371338,588.8439941406,88.8033065796
2025-09-16,49.1608047485,588.3463745117,88.8129882812
2025-09-17,48.8478355408,587.1720581055,88.8226852417
2025-09-18,50.1642913818,592.4665527344,88.8323822021
2025-09-19,51.1578407288,596.4771728516,88.8711547852
2025-09-22,52.0222282410,600.0083618164,88.8808517456
2025-09-23,50.9740333557,596.0228881836,88.8808517456
2025-09-24,50.4260635376,593.9305419922,88.9002304077
2025-09-25,49.7498016357,591.3699340820,88.9002304077
2025-09-26,50.3465003967,593.8009643555,88.9293060303
2025-09-29,51.0177879333,596.5509643555,88.9390182495
2025-09-30,51.4155845642,598.1849975586,88.9390182495
2025-10-01,52.1415672302,601.0545043945,88.9594345093
2025-10-02,52.7780494690,603.5255126953,88.9691696167
2025-10-03,52.0620117188,600.9848022461,88.9886245728
2025-10-06,53.2255783081,605.4982910156,89.0080718994
2025-10-07,52.3653335571,602.3099975586,89.0080718994
2025-10-08,54.1405143738,609.2147216797,89.0275268555
2025-10-09,53.9266967773,608.4774169922,89.0275268555
2025-10-10,48.2679977417,587.3545532227,89.0664215088
2025-10-13,51.3310546875,599.8190307617,89.0761642456
2025-10-14,50.2868309021,595.8236694336,89.0761642456
2025-10-15,51.3161354065,600.0282592773,89.0858917236
2025-10-16,50.7443008423,597.8063964844,89.0956192017
2025-10-17,51.7089653015,601.7320556641,89.1150741577
2025-10-20,53.6482391357,609.3143310547,89.1345138550
2025-10-21,53.5885696411,609.1549072266,89.1345138550
2025-10-22,52.0122909546,603.2863769531,89.1539764404
2025-10-23,53.3150825500,608.3579101562,89.1636962891
2025-10-24,54.9758911133,614.8540649414,89.1928710938
2025-10-27,57.8947486877,625.8041992188,89.1928710938
2025-10-28,59.2174301147,630.6165161133,89.2026062012
2025-10-29,59.9732513428,633.4561767578,89.2317810059
2025-10-30,57.2284278870,623.7715454102,89.2317810059
2025-10-31,58.0389480591,626.7805786133,89.2512359619
2025-11-03,58.8345451355,629.7796630859,89.2639236450
2025-11-04,55.2344665527,616.9963378906,89.2736968994
2025-11-05,56.3085174561,621.0116577148,89.2834472656
2025-11-06,53.1509857178,609.4438476562,89.2931900024
2025-11-07,52.5990409851,607.5209350586,89.3224792480
2025-11-10,56.0449790955,620.9617919922,89.3419876099
2025-11-11,55.5825347900,619.3078613281,89.3322296143
2025-11-12,55.4681701660,618.8196411133,89.3419876099
2025-11-13,52.0421257019,606.1858520508,89.3517532349
2025-11-14,52.0818977356,606.6440429688,89.3907928467
2025-11-17,50.7443008423,601.4630126953,89.3907928467
2025-11-18,48.9094505310,594.1397705078,89.4103164673
2025-11-19,49.7498016357,597.6868286133,89.4103164673
2025-11-20,46.1944732666,583.5385131836,89.4298248291
2025-11-21,47.2187995911,587.9224853516,89.4493484497
2025-11-24,50.7990036011,602.9575805664,89.4493484497
2025-11-25,51.7238807678,606.6740722656,89.4688491821
2025-11-26,53.0764007568,612.0344238281,89.4786148071
2025-11-28,54.2399635315,616.9963378906,89.5079116821
2025-12-01,53.7526550293,614.9238281250,89.5186538696
2025-12-02,54.9957847595,619.7362670898,89.5480422974
2025-12-03,55.3836402893,621.2507934570,89.5578231812
2025-12-04,55.2046279907,620.6728515625,89.5675964355
2025-12-05,55.8411102295,623.2036743164,89.5871887207
2025-12-08,55.4930305481,622.0079956055,89.5969772339
2025-12-09,55.7018737793,622.7752075195,89.6165466309
2025-12-10,56.3383560181,625.3258666992,89.6165466309
2025-12-11,55.8013267517,623.3033447266,89.6263427734
2025-12-12,52.5294265747,611.3867797852,89.6654968262
2025-12-15,51.7338294983,608.3179931641,89.6654968262
2025-12-16,52.0421257019,609.5235595703,89.6752853394
2025-12-17,49.1282386780,598.2247924805,89.6850814819
2025-12-18,51.2266311646,606.8931884766,89.6998138428
2025-12-19,53.2255783081,614.8042602539,89.7293090820
2025-12-22,53.9515609741,617.7513427734,89.7293090820
2025-12-23,54.7073745728,620.6444702148,89.7293090820
2025-12-24,55.1416625977,622.4602050781,89.7587814331
2025-12-26,55.0918579102,622.4203491211,89.7882766724
2025-12-29,54.2750930786,619.4074096680,89.7882766724
2025-12-30,53.8866271973,617.9707641602,89.7981033325
2025-12-31,52.5120735168,612.8628540039,89.8079223633
2026-01-02,52.1435317993,611.6756591797,89.8472366333
2026-01-05,53.3885993958,616.5341796875,89.8472366333
2026-01-06,54.7930374146,621.9514160156,89.8570709229
2026-01-07,54.9524078369,622.5500488281,89.8767089844
2026-01-08,53.9762725830,619.0083618164,89.8767089844
2026-01-09,55.5400772095,625.1738281250,89.8963851929
2026-01-12,55.6695671082,625.6925659180,89.9062118530
2026-01-13,55.3807144165,624.7647705078,89.9160308838
2026-01-14,53.6176986694,618.0905151367,89.9258575439
2026-01-15,54.1655273438,620.3153076172,89.9258575439
2026-01-16,53.9264678955,619.7965087891,89.9651794434
2026-01-20,50.5299186707,606.6276245117,89.9651794434
2026-01-21,52.5220336914,614.8282470703,89.9749984741
2026-01-22,53.6874198914,619.2976684570,89.9848175049
2026-01-23,54.1655273438,621.2530517578,90.0143203735
2026-01-26,54.8627662659,623.9866333008,90.0143203735
2026-01-27,56.3170089722,629.6432495117,90.0241394043
2026-01-28,56.8349571228,631.7282714844,90.0339736938
2026-01-29,55.8189773560,627.9472045898,90.0536193848
2026-01-30,53.7870254517,620.4050292969,90.0732879639
2026-02-02,54.8826828003,624.6650390625,90.0870742798
2026-02-03,52.3128585815,615.0676879883,90.0870742798
2026-02-04,49.5637474060,604.3229980469,90.1068038940
2026-02-05,47.4521064758,595.6235961914,90.1068038940
2026-02-06,50.3904762268,608.2138671875,90.1363677979
2026-02-09,51.5359382629,612.8728637695,90.1363677979
2026-02-10,50.8187751770,610.0295410156,90.1462173462
2026-02-11,51.1972808838,611.6657104492,90.1659469604
2026-02-12,48.0696601868,599.2250976562,90.1659469604
2026-02-13,48.2788352966,600.5020141602,90.2053756714
2026-02-17,48.1593055725,599.8834838867,90.2152328491
2026-02-18,49.1952056885,604.3629760742,90.2250900269
2026-02-19,48.6374168396,602.0483398438,90.2250900269
2026-02-20,49.8625640869,607.3757934570,90.2546463013
2026-02-23,48.0497398376,599.9932250977,90.2546463013
2026-02-24,49.5836677551,606.4380493164,90.2743682861
2026-02-25,51.6654243469,615.2272949219,90.2842330933
2026-02-26,49.8526000977,607.8048095703,90.2940826416
2026-02-27,49.3246955872,605.8594360352,90.3138122559
2026-03-02,49.5039863586,606.6575317383,90.3266525269
2026-03-03,47.9102935791,600.1628417969,90.3365478516
2026-03-04,50.0617713928,609.3112182617,90.3464279175
2026-03-05,49.6035881042,607.4755859375,90.3563003540
2026-03-06,47.3525009155,598.3371582031,90.3760681152
2026-03-09,49.1952056885,606.3283081055,90.3859405518
2026-03-10,49.2051658630,606.3383178711,90.3958435059
2026-03-11,49.1553611755,606.2584228516,90.3958435059
2026-03-12,46.6453056335,595.8530273438,90.4156112671
2026-03-13,45.7488517761,592.3213500977,90.4452514648
2026-03-16,47.2728157043,598.9656982422,90.4452514648
2026-03-17,47.9700584412,601.8887939453,90.4551467896
2026-03-18,45.9181785583,593.4986572266,90.4749145508
2026-03-19,45.5097961426,591.6230468750,90.4749145508
2026-03-20,42.9100952148,580.6888427734,90.5045471191
2026-03-23,44.3942146301,587.3545532227,90.5144500732
2026-03-24,43.4479598999,583.3389282227,90.5243301392
2026-03-25,44.2880287170,587.1747436523,90.5144500732
2026-03-26,41.1352882385,573.1600952148,90.5342102051
2026-03-27,38.6909141541,561.9624633789,90.5638504028
2026-03-30,37.8029594421,557.6671752930,90.5737457275
2026-03-31,41.5842552185,576.5463867188,90.5737457275
2026-04-01,43.1306915283,583.6685791016,90.5975418091
2026-04-02,43.2304649353,584.3378295898,90.6173553467
2026-04-06,43.9986953735,587.8540039062,90.6371765137
2026-04-07,44.0485801697,587.9439086914,90.6470794678
2026-04-08,47.8897361755,605.4246826172,90.6470794678
2026-04-09,48.8475303650,609.5202026367,90.6570129395
2026-04-10,49.0570449829,610.3992309570,90.6867370605
2026-04-13,50.5436248779,616.7122802734,90.6867370605
2026-04-14,53.2873077393,627.9099121094,90.6966476440
2026-04-15,55.5221633911,636.7003173828,90.7065582275
2026-04-16,56.3003730774,639.7669067383,90.7164840698
2026-04-17,58.4554100037,648.1376953125,90.7462158203
2026-04-20,57.9465827942,646.0799560547,90.7561187744
2026-04-21,57.2681427002,643.6226806641,90.7660293579
2026-04-22,60.0716857910,654.3908691406,90.7660293579
2026-04-23,59.0839614868,650.7048950195,90.7858657837
2026-04-24,62.4162902832,663.1512451172,90.8056869507
2026-04-27,62.4961051941,663.5008544922,90.8155975342
2026-04-28,60.6004714966,656.8281860352,90.8255004883
2026-04-29,61.7178993225,660.8437500000,90.8255004883
2026-04-30,63.3940391541,667.0069580078,90.8354263306
2026-05-01,65.1500015259,673.4099731445,90.8652572632
2026-05-04,64.7608947754,672.1413574219,90.8851318359
2026-05-05,67.2351913452,680.8617553711,90.8950729370
2026-05-06,71.4055938721,695.0062255859,90.8851318359
2026-05-07,71.1761169434,694.1771240234,90.9050140381
2026-05-08,76.1047744751,710.4492187500,90.9249038696
2026-05-11,76.7832107544,712.5069580078,90.9447860718
2026-05-12,74.7878036499,706.4636230469,90.9547195435
2026-05-13,77.0625686646,713.9254760742,90.9547195435
2026-05-14,78.7686386108,718.9998168945,90.9746017456
2026-05-15,75.1669311523,708.1517944336,90.9944915771
2026-05-18,74.1492767334,705.1051025391,90.9944915771
2026-05-19,72.7624664307,700.7599487305,91.0143737793
2026-05-20,76.3342437744,712.3671875000,91.0342483521
2026-05-21,76.7732315063,713.7256469727,91.0342483521
2026-05-22,77.6611862183,716.7523193359,91.0541381836
2026-05-26,81.7617416382,729.4783935547,91.0740203857
2026-05-27,81.4823913574,728.6492919922,91.0839614868
2026-05-28,83.4877700806,734.7924804688,91.0938949585
2026-05-29,84.3657531738,737.4995117188,91.1237335205
2026-06-01,85.8423538208,741.9246826172,91.1327056885
2026-06-02,87.0196456909,745.3408813477,91.1227264404
2026-06-03,86.3611526489,743.3930664062,91.1426773071
2026-06-04,85.0242385864,739.7969970703,91.1426773071
2026-06-05,72.8821945190,704.2860107422,91.1825485229
2026-06-08,76.0947952271,715.2839355469,91.1925277710
2026-06-09,73.5506515503,707.0529785156,91.1925277710
2026-06-10,69.1108703613,692.9285278320,91.2024993896
2026-06-11,75.8353958130,716.3327636719,91.2124710083
2026-06-12,77.3419189453,720.5481567383,91.2423782349
2026-06-15,84.3956756592,743.1832885742,91.2423782349
2026-06-16,79.7463912964,729.0587768555,91.2523498535
2026-06-17,77.3618774414,721.7168579102,91.2623214722
2026-06-18,82.6796340942,739.8070068359,91.3022003174
2026-06-22,82.3903045654,737.9500122070,91.3022003174
2026-06-23,74.2690048218,713.6500244141,91.3121795654
2026-06-24,73.3000030518,710.6199951172,91.3221435547
2026-06-25,74.9499969482,716.3800048828,91.3321151733
2026-06-26,71.8300018311,706.5200195312,91.3620223999
2026-06-29,77.1900024414,724.0800170898,91.3720016479
2026-06-30,81.0000000000,736.4000244141,91.3720016479
2026-07-01,77.4599990845,725.1699829102,91.4000015259
2026-07-02,73.3499984741,712.5999755859,91.4400024414
2026-07-06,76.4199981689,722.8200073242,91.4300003052
2026-07-07,72.2300033569,709.4299926758,91.4499969482
2026-07-08,72.7200012207,711.4400024414,91.4499969482
2026-07-09,76.3399963379,723.2800292969,91.4599990845
2026-07-10,77.0299987793,725.5100097656,91.5000000000
2026-07-13,72.6399993896,711.7399902344,91.5000000000
