date,tqqq,qqq,bil
2010-02-11,0.2055819333,37.8622856140,73.7005691528
2010-02-12,0.2064231634,37.9403076172,73.7005691528
2010-02-16,0.2144192308,38.4258384705,73.7005691528
2010-02-17,0.2180579752,38.6425895691,73.6523742676
2010-02-18,0.2221919298,38.8853569031,73.6845474243
2010-02-19,0.2221919298,38.8680191040,73.6523742676
2010-02-22,0.2206320763,38.7899894714,73.6845474243
2010-02-23,0.2120181471,38.2871246338,73.6523742676
2010-02-24,0.2184296250,38.6772804260,73.6845474243
2010-02-25,0.2183051407,38.6686019897,73.6845474243
2010-02-26,0.2210284323,38.8073196411,73.6845474243
2010-03-01,0.2305092812,39.3708648682,73.6523742676
2010-03-02,0.2318951935,39.4922447205,73.6684188843
2010-03-03,0.2331831604,39.5356101990,73.6523742676
2010-03-04,0.2357572913,39.6656570435,73.6523742676
2010-03-05,0.2461782247,40.2639007568,73.6523742676
2010-03-08,0.2474909276,40.3419418335,73.6523742676
2010-03-09,0.2518720627,40.5673561096,73.6523742676
2010-03-10,0.2580354512,40.8968200684,73.6684188843
2010-03-11,0.2604117692,41.0528869629,73.6523742676
2010-03-12,0.2610059381,41.0615653992,73.6523742676
2010-03-15,0.2592482865,40.9575004578,73.6523742676
2010-03-16,0.2641502917,41.2176017761,73.6523742676
2010-03-17,0.2659820914,41.3303337097,73.6523742676
2010-03-18,0.2686797082,41.4690437317,73.6523742676
2010-03-19,0.2639269233,41.2182121277,73.6523742676
2010-03-22,0.2710561156,41.5914077759,73.6684188843
2010-03-23,0.2767251730,41.8778381348,73.6684188843
2010-03-24,0.2727889717,41.6782112122,73.6523742676
2010-03-25,0.2710808218,41.6174583435,73.6845474243
2010-03-26,0.2724923790,41.6608543396,73.6845474243
2010-03-29,0.2762298584,41.8604850769,73.6523742676
2010-03-30,0.2791262567,41.9993629456,73.6523742676
2010-03-31,0.2753639519,41.7997360229,73.6845474243
2010-04-01,0.2748193741,41.7997360229,73.6845474243
2010-04-05,0.2827650309,42.1902999878,73.6523742676
2010-04-06,0.2849189639,42.3117866516,73.6523742676
2010-04-07,0.2833096683,42.2076721191,73.6523742676
2010-04-08,0.2843249440,42.3031082153,73.6523742676
2010-04-09,0.2894483209,42.5548324585,73.6523742676
