date,sp500,dividend,earnings,cpi,long_rate,real_price,pe10
1980-01-01,110.9,5.7,15.0033,77.8,10.8,436.37,8.85
1980-02-01,115.3,5.75,15.1467,78.9,12.41,447.36,9.05
1980-03-01,104.7,5.8,15.29,80.1,12.75,400.14,8.08
1980-04-01,103.0,5.84667,15.1733,81.0,11.47,389.27,7.84
1980-05-01,107.7,5.89333,15.0567,81.8,10.18,403.06,8.1
1980-06-01,114.6,5.94,14.94,82.7,9.78,424.21,8.51
1980-07-01,119.8,5.98333,14.84,82.7,10.25,443.46,8.88
1980-08-01,123.5,6.02667,14.74,83.3,11.1,453.86,9.07
1980-09-01,126.5,6.07,14.64,84.0,11.51,461.01,9.2
1980-10-01,130.2,6.1,14.7,84.8,11.75,470.02,9.36
1980-11-01,135.7,6.13,14.76,85.5,12.68,485.87,9.65
1980-12-01,133.5,6.16,14.82,86.3,12.84,473.56,9.39
1981-01-01,133.0,6.2,14.74,87.0,12.57,467.99,9.26
1981-02-01,128.4,6.24,14.66,87.9,13.19,447.18,8.83
1981-03-01,133.2,6.28,14.58,88.5,13.12,460.75,9.08
1981-04-01,134.4,6.31667,14.7233,89.1,13.68,461.77,9.09
1981-05-01,131.7,6.35333,14.8667,89.8,14.1,448.96,8.82
1981-06-01,132.3,6.39,15.01,90.6,13.47,447.03,8.77
1981-07-01,129.1,6.43333,15.0967,91.6,14.28,431.45,8.45
1981-08-01,129.6,6.47667,15.1833,92.3,14.94,429.84,8.4
1981-09-01,118.3,6.52,15.27,93.2,15.32,388.57,7.58
1981-10-01,119.8,6.55667,15.3,93.4,15.15,392.66,7.65
1981-11-01,122.9,6.59333,15.33,93.7,13.39,401.53,7.81
1981-12-01,123.8,6.63,15.36,94.0,13.72,403.18,7.83
1982-01-01,117.3,6.66,15.1767,94.3,14.59,380.79,7.39
1982-02-01,114.5,6.69,14.9933,94.6,14.43,370.52,7.18
1982-03-01,110.8,6.72,14.81,94.5,13.86,358.93,6.95
1982-04-01,116.3,6.75,14.5967,94.9,13.87,375.16,7.26
1982-05-01,116.4,6.78,14.3833,95.8,13.62,371.95,7.19
1982-06-01,109.7,6.81,14.17,97.0,14.3,346.21,6.69
1982-07-01,109.4,6.82333,13.9667,97.5,13.95,343.49,6.64
1982-08-01,109.7,6.83667,13.7633,97.7,13.06,343.73,6.64
1982-09-01,122.4,6.85,13.56,97.9,12.34,382.74,7.4
1982-10-01,132.7,6.85667,13.2533,98.2,10.91,413.68,8.0
1982-11-01,138.1,6.86333,12.9467,98.0,10.55,431.39,8.35
1982-12-01,139.4,6.87,12.64,97.6,10.54,437.24,8.47
1983-01-01,144.3,6.88333,12.5667,97.8,10.46,451.68,8.76
1983-02-01,146.8,6.89667,12.4933,97.9,10.72,459.03,8.91
1983-03-01,151.9,6.91,12.42,97.9,10.51,474.98,9.23
1983-04-01,157.7,6.92,12.4767,98.6,10.4,489.62,9.53
1983-05-01,164.1,6.93,12.5333,99.2,10.38,506.41,9.87
1983-06-01,166.4,6.94,12.59,99.5,10.85,511.96,10.0
1983-07-01,167.0,6.96,12.8267,99.9,11.38,511.74,10.01
1983-08-01,162.4,6.98,13.0633,100.2,11.85,496.16,9.73
1983-09-01,167.2,7.0,13.3,100.7,11.65,508.29,9.98
1983-10-01,167.7,7.03,13.5433,101.0,11.54,508.29,10.0
1983-11-01,165.2,7.06,13.7867,101.2,11.69,499.73,9.85
1983-12-01,164.4,7.09,14.03,101.3,11.83,496.82,9.82
1984-01-01,166.4,7.12,14.44,101.9,11.67,499.9,9.89
1984-02-01,157.3,7.15,14.85,102.4,11.84,470.25,9.32
1984-03-01,157.4,7.18,15.26,102.6,12.32,469.63,9.33
1984-04-01,157.6,7.22333,15.5733,103.1,12.63,467.95,9.31
1984-05-01,156.6,7.26667,15.8867,103.4,13.41,463.63,9.23
1984-06-01,153.1,7.31,16.2,103.7,13.56,451.96,9.01
1984-07-01,151.1,7.33333,16.32,104.1,13.36,444.34,8.87
1984-08-01,164.4,7.35667,16.44,104.5,12.72,481.6,9.62
1984-09-01,166.1,7.38,16.56,105.0,12.52,484.26,9.69
1984-10-01,164.8,7.43,16.5867,105.3,12.16,479.11,9.6
1984-11-01,166.3,7.48,16.6133,105.3,11.57,483.47,9.69
1984-12-01,164.5,7.53,16.64,105.3,11.5,478.23,9.6
1985-01-01,171.6,7.57333,16.5567,105.5,11.38,497.93,10.0
1985-02-01,180.9,7.61667,16.4733,106.0,11.51,522.44,10.49
1985-03-01,179.4,7.66,16.39,106.4,11.86,516.16,10.37
1985-04-01,180.6,7.68667,16.13,106.9,11.43,517.18,10.4
1985-05-01,184.9,7.71333,15.87,107.3,10.85,527.52,10.61
1985-06-01,188.9,7.74,15.61,107.6,10.16,537.43,10.81
1985-07-01,192.5,7.77333,15.4833,107.8,10.31,546.66,11.0
1985-08-01,188.3,7.80667,15.3567,108.0,10.33,533.74,10.74
1985-09-01,184.1,7.84,15.23,108.3,10.37,520.39,10.47
1985-10-01,186.2,7.86,15.0233,108.7,10.24,524.39,10.55
1985-11-01,197.5,7.88,14.8167,109.0,9.78,554.68,11.16
1985-12-01,207.3,7.9,14.61,109.3,9.26,580.61,11.69
1986-01-01,208.2,7.94,14.58,109.6,9.19,581.53,11.72
1986-02-01,219.4,7.98,14.55,109.3,8.7,614.5,12.39
1986-03-01,232.3,8.02,14.52,108.8,7.78,653.62,13.19
1986-04-01,238.0,8.04667,14.5833,108.6,7.3,670.89,13.55
1986-05-01,238.5,8.07333,14.6467,108.9,7.71,670.44,13.56
1986-06-01,245.3,8.1,14.71,109.5,7.8,685.78,13.89
1986-07-01,240.2,8.14333,14.7567,109.5,7.3,671.52,13.62
1986-08-01,245.0,8.18667,14.8033,109.7,7.17,683.69,13.89
1986-09-01,238.3,8.23,14.85,110.2,7.45,661.98,13.47
1986-10-01,237.4,8.24667,14.7267,110.3,7.43,658.88,13.43
1986-11-01,245.1,8.26333,14.6033,110.4,7.25,679.64,13.87
1986-12-01,248.6,8.28,14.48,110.5,7.11,688.72,14.09
1987-01-01,264.5,8.3,14.6867,111.2,7.08,728.15,14.92
1987-02-01,280.9,8.32,14.8933,111.6,7.25,770.53,15.82
1987-03-01,292.5,8.34,15.1,112.1,7.25,798.77,16.43
1987-04-01,289.3,8.4,14.8733,112.7,8.02,785.83,16.2
1987-05-01,289.1,8.46,14.6467,113.1,8.61,782.51,16.16
1987-06-01,301.4,8.52,14.42,113.5,8.4,812.92,16.83
1987-07-01,310.1,8.56667,14.9,113.8,8.45,834.18,17.31
1987-08-01,329.4,8.61333,15.38,114.4,8.76,881.45,18.33
1987-09-01,318.7,8.66,15.86,115.0,9.42,848.37,17.68
1987-10-01,280.2,8.71,16.4067,115.3,9.52,743.95,15.53
1987-11-01,245.0,8.76,16.9533,115.4,8.86,649.92,13.59
1987-12-01,241.0,8.81,17.5,115.4,8.99,639.31,13.39
1988-01-01,250.5,8.85667,17.8633,115.7,8.67,662.79,13.9
1988-02-01,258.1,8.90333,18.2267,116.0,8.21,681.13,14.3
1988-03-01,265.7,8.95,18.59,116.5,8.37,698.18,14.67
1988-04-01,262.6,9.04333,19.6167,117.1,8.72,686.5,14.43
1988-05-01,256.1,9.13667,20.6433,117.5,9.09,667.23,14.03
1988-06-01,270.7,9.23,21.67,118.0,8.92,702.28,14.77
1988-07-01,269.1,9.30667,22.0233,118.5,9.06,695.18,14.61
1988-08-01,263.7,9.38333,22.3767,119.0,9.26,678.37,14.24
1988-09-01,268.0,9.46,22.73,119.8,8.98,684.83,14.37
1988-10-01,277.4,9.55,23.0733,120.2,8.8,706.49,14.81
1988-11-01,271.0,9.64,23.4167,120.3,8.96,689.61,14.45
1988-12-01,276.5,9.75,23.75,120.5,9.11,702.44,14.7
1989-01-01,285.4,9.81333,24.16,121.1,9.09,721.46,15.09
1989-02-01,294.0,9.89667,24.56,121.6,9.17,740.14,15.47
1989-03-01,292.7,10.01,24.96,122.3,9.36,732.65,15.3
