strategy,latency_ns,queue_ahead_fraction,fee_multiplier,net_pnl,max_abs_inventory,fill_rate
fixed_spread,0,0.0,1.0,-224.4806208000373,100.0,0.016262378486417733
avellaneda_stoikov,0,0.0,1.0,-145.38337360001242,100.0,0.02243934364919826
queue_aware,0,0.0,1.0,-136.8872561999906,69.0,0.014976395897769819
toxicity_aware,0,0.0,1.0,-136.44953419998637,92.0,0.014869127104411585
latency_aware,0,0.0,1.0,-136.44953419998637,92.0,0.014869127104411585
fixed_spread,0,0.0,1.5,-205.7509312000584,100.0,0.016262378486417733
avellaneda_stoikov,0,0.0,1.5,-120.56506040001113,100.0,0.02243934364919826
queue_aware,0,0.0,1.5,-117.6308842999988,69.0,0.014976395897769819
toxicity_aware,0,0.0,1.5,-117.82930130002933,92.0,0.014869127104411585
latency_aware,0,0.0,1.5,-117.82930130002933,92.0,0.014869127104411585
fixed_spread,0,0.5,1.0,-226.35722090004492,97.0,0.01487664972252017
avellaneda_stoikov,0,0.5,1.0,-10.719070850027492,98.5,0.018721501227639426
queue_aware,0,0.5,1.0,-68.11139410002124,65.5,0.011761354387107277
toxicity_aware,0,0.5,1.0,-160.61930409999331,90.0,0.012819469314667101
latency_aware,0,0.5,1.0,-160.61930409999331,90.0,0.012819469314667101
fixed_spread,0,0.5,1.5,-209.88583135000954,97.0,0.01487664972252017
avellaneda_stoikov,0,0.5,1.5,11.078893725032685,98.5,0.018721501227639426
queue_aware,0,0.5,1.5,-52.812091150000924,65.5,0.011761354387107277
toxicity_aware,0,0.5,1.5,-144.1364561500177,90.0,0.012819469314667101
latency_aware,0,0.5,1.5,-144.1364561500177,90.0,0.012819469314667101
fixed_spread,0,1.0,1.0,-130.62949980004487,99.0,0.005384155200410221
avellaneda_stoikov,0,1.0,1.0,-98.87571180000668,91.0,0.004595702397217737
queue_aware,0,1.0,1.0,-67.8018479999937,76.0,0.004069672798307016
toxicity_aware,0,1.0,1.0,-47.33718320000298,52.0,0.0042731564382223666
latency_aware,0,1.0,1.0,-47.33718320000298,52.0,0.0042731564382223666
fixed_spread,0,1.0,1.5,-124.26924970002437,99.0,0.005384155200410221
avellaneda_stoikov,0,1.0,1.5,-93.02356770000551,91.0,0.004595702397217737
queue_aware,0,1.0,1.5,-62.557771999990564,76.0,0.004069672798307016
toxicity_aware,0,1.0,1.5,-41.95077480000691,52.0,0.0042731564382223666
latency_aware,0,1.0,1.5,-41.95077480000691,52.0,0.0042731564382223666
